name,categories,province,district,address,phone,lineId,facebookUrl,openHours,description,lat,lng
ร้านตัวอย่างเกษตรภัณฑ์ 1,ปุ๋ย-เคมีเกษตร|เมล็ดพันธุ์,นครสวรรค์,เมืองนครสวรรค์,"123/4 ถ.สวรรค์วิถี ต.ปากน้ำโพ",081-000-0001,@sample1,,จ-ส 8:00-17:30,"ข้อมูลตัวอย่าง (sample) — จำหน่ายปุ๋ยเคมี ปุ๋ยอินทรีย์ และเมล็ดพันธุ์ผักครบวงจร",15.7047,100.1372
ร้านตัวอย่างเกษตรภัณฑ์ 2,ปุ๋ย-เคมีเกษตร,นครสวรรค์,พยุหะคีรี,"55 หมู่ 3 ต.พยุหะ",081-000-0002,@sample2,,ทุกวัน 7:30-18:00,,,
ร้านตัวอย่างเมล็ดพันธุ์ 3,เมล็ดพันธุ์,นครสวรรค์,ตาคลี,"88 ถ.พหลโยธิน ต.ตาคลี",081-000-0003,,,จ-ส 8:00-17:00,,,
ร้านตัวอย่างแทรกเตอร์ 4,เครื่องจักรกลเกษตร,นครสวรรค์,เมืองนครสวรรค์,"200 ถ.มาตุลี ต.นครสวรรค์ตก",081-000-0004,@sample4,,จ-ส 8:30-17:30,"ข้อมูลตัวอย่าง (sample) — ตัวแทนจำหน่ายแทรกเตอร์และอุปกรณ์ต่อพ่วง พร้อมศูนย์บริการ",15.6930,100.1210
ร้านตัวอย่างอะไหล่ 5,อะไหล่-ซ่อมบำรุง,นครสวรรค์,ลาดยาว,"12 หมู่ 5 ต.ลาดยาว",081-000-0005,,,จ-ส 8:00-17:00,,,
ร้านตัวอย่างวัสดุเกษตร 6,ร้านวัสดุเกษตรทั่วไป,นครสวรรค์,ท่าตะโก,"77 หมู่ 1 ต.ท่าตะโก",081-000-0006,@sample6,,ทุกวัน 7:00-18:00,,,
ร้านตัวอย่างรับซื้อข้าว 7,รับซื้อผลผลิต,นครสวรรค์,บรรพตพิสัย,"เยื้องตลาดสด ต.ท่างิ้ว",081-000-0007,,,จ-ส 8:00-16:30,"ข้อมูลตัวอย่าง (sample) — รับซื้อข้าวเปลือกและมันสำปะหลัง ให้ราคาตามประกาศรายวัน",,
ร้านตัวอย่างเกษตรครบวงจร 8,ปุ๋ย-เคมีเกษตร|ร้านวัสดุเกษตรทั่วไป,นครสวรรค์,หนองบัว,"31 หมู่ 2 ต.หนองบัว",081-000-0008,@sample8,,จ-ส 8:00-17:00,,,
ร้านตัวอย่างซ่อมเครื่องจักร 9,อะไหล่-ซ่อมบำรุง|เครื่องจักรกลเกษตร,นครสวรรค์,ชุมแสง,"9 ถ.แสงสวรรค์ ต.ชุมแสง",081-000-0009,,,จ-ส 8:30-17:00,,,
ร้านตัวอย่างรับซื้อพืชไร่ 10,รับซื้อผลผลิต,นครสวรรค์,ไพศาลี,"หน้าสหกรณ์การเกษตร ต.ไพศาลี",081-000-0010,@sample10,,จ-ส 8:00-16:00,,,
